ID,INN,Name,Price,Category,NReviews,Rating,Country,Volume
5000,072110989829,Тонер-картридж  Xerox phaser 3140,4366,cartridge,1044,4.8,Россия,0
5001,5406772720,Чип для картриджа HP LaserJet Pro M428dn,5457,cartridge,752,4.8,Россия,0
5002,1655451790, Драм-картридж Kyocera TK-6115,5771,cartridge,64,5.0,Россия,0
5003,5406772720,Картридж Pantum TL-5120,4368,cartridge,1230,5.0,Россия,0
5004,1655451790,Тонер-картридж  Xerox phaser 3140,6444,cartridge,890,5.0,Россия,0
5005,7734723863,Тонер-картридж CF540X ,3758,cartridge,1080,5.0,Россия,0
5006,5406772720, Драм-картридж Brother HL-L5100DN,4755,cartridge,66,4.6,Россия,0
5007,1655451790,Чип для картриджа CF540X ,4947,cartridge,31,4.8,Россия,0
5008,1655451790,Картридж Pantum P3300DN,4648,cartridge,879,4.9,Россия,0
5009,775115548702,Тонер-картридж  Xerox phaser 3140,3558,cartridge,561,4.7,Россия,0
5010,775115548702,Чип для картриджа HP LaserJet Pro M428dn,6033,cartridge,1163,5.0,Россия,0
5011,775115548702,Чип для картриджа CF259A,5485,cartridge,238,4.9,Россия,0
5012,1655451790,Тонер-картридж CF540X ,2409,cartridge,399,4.6,Россия,0
5013,5406772720,Тонер-картридж ,3253,cartridge,1172,4.6,Россия,0
5014,775115548702,Чип для картриджа Pantum P3300DN,1204,cartridge,544,4.9,Россия,0
5015,5406772720,Тонер-картридж Kyocera TK-6115,5435,cartridge,574,4.9,Россия,0
5016,1655451790,Тонер-картридж ,5424,cartridge,731,5.0,Россия,0
5017,5406772720,Чип для картриджа CF540X ,1426,cartridge,724,4.5,Россия,0
5018,7734723863,Картридж ,5009,cartridge,155,4.5,Россия,0
5019,5406772720,Картридж ,2121,cartridge,791,5.0,Россия,0
5020,5406772720, Драм-картридж CF540X ,5026,cartridge,171,4.6,Россия,0
5021,1655451790, Драм-картридж CF259A,5873,cartridge,66,4.9,Россия,0
5022,1655451790, Драм-картридж  Xerox phaser 3140,2865,cartridge,54,4.6,Россия,0
5023,1655451790,Картридж CF259A,2870,cartridge,1133,4.7,Россия,0
5024,072110989829, Драм-картридж CF540X ,6280,cartridge,1050,5.0,Россия,0
5025,072110989829, Драм-картридж Pantum P3300DN,4217,cartridge,486,4.7,Россия,0
5026,5406772720,Тонер-картридж Brother HL-L5100DN,6152,cartridge,100,4.8,Россия,0
5027,1655451790,Картридж HP LaserJet Р2055,1262,cartridge,244,4.9,Россия,0
5028,5406772720,Тонер-картридж HP LaserJet Р2055,1398,cartridge,66,4.8,Россия,0
5029,775115548702, Драм-картридж CF259A,1585,cartridge,843,4.9,Россия,0
5030,775115548702,Тонер-картридж CF259A,6492,cartridge,522,4.5,Россия,0
5031,775115548702,Чип для картриджа HP LaserJet Р2055,1847,cartridge,1076,4.6,Россия,0
5032,775115548702,Картридж HP LaserJet Р2055,5676,cartridge,615,4.8,Россия,0
5033,7734723863,Чип для картриджа  Xerox phaser 3140,1243,cartridge,189,4.7,Россия,0
5034,7734723863,Чип для картриджа  Xerox phaser 3140,3681,cartridge,65,4.8,Россия,0
5035,1655451790,Картридж HP LaserJet Pro M428dn,3996,cartridge,804,4.7,Россия,0
5036,1655451790,Картридж  Xerox phaser 3140,6482,cartridge,492,4.6,Россия,0
5037,7734723863,Чип для картриджа HP LaserJet Pro M428dn,4700,cartridge,490,4.7,Россия,0
5038,1655451790,Тонер-картридж ,4887,cartridge,1151,4.6,Россия,0
5039,7734723863, Драм-картридж CF540X ,1854,cartridge,166,4.8,Россия,0
5040,1655451790,Картридж CF540X ,6424,cartridge,1084,4.8,Россия,0
5041,7734723863,Тонер-картридж Brother HL-L5100DN,3080,cartridge,913,4.9,Россия,0
5042,775115548702,Чип для картриджа Pantum TL-5120,5214,cartridge,443,4.5,Россия,0
5043,775115548702,Картридж  Xerox phaser 3140,3103,cartridge,1081,4.6,Россия,0
5044,5406772720,Картридж Brother HL-L5100DN,1276,cartridge,777,4.8,Россия,0
